INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,PARENT1_INDEX,MSTATUS_INDEX,CAR_USE_INDEX,REVOKED_INDEX,URBANICITY_INDEX,EDUCATION_INDEX,JOB_INDEX,CAR_TYPE_INDEX,HOME_VAL_BIN,CAR_AGE_BIN,HOMEKIDS_BIN,KIDSDRIV_BIN,JOB_BIN,EDUCATION_BIN,logINCOME,logMVR_PTS,logBLUEBOOK,logCLM_FREQ,logAGE,logTRAVTIME
17,1,1267.0,0,53.0,0,11.0,130795.0,No,0.0,z_No,M,PhD,Not Specified,64,Commercial,28340.0,6,Panel Truck,yes,0.0,0,No,3,10.0,Highly Urban/ Urban,0,0,1,0,0,4,8.0,5,0,1,0,0,1,1,11.781394136497871,1.3862943611198906,10.252029513244672,0.0,3.970291913552122,4.1588830833596715
19,1,2920.16732,0,45.0,0,0.0,0.0,No,106859.0,Yes,z_F,<High School,Home Maker,48,Private,6000.0,1,z_SUV,no,0.0,0,No,3,5.0,Highly Urban/ Urban,0,1,0,0,0,0,1.0,0,1,1,0,0,0,0,0.0,1.3862943611198906,8.699514748210191,0.0,3.8066624897703196,3.871201010907891
20,0,0.0,0,39.0,3,12.0,51884.0,Yes,180951.0,z_No,z_F,Bachelors,Clerical,43,Private,10590.0,6,z_SUV,no,0.0,0,No,0,13.0,z_Highly Rural/ Rural,1,0,0,0,1,2,3.0,0,1,1,1,0,0,1,10.85678501003938,0.0,9.267665438595452,0.0,3.6635616461296463,3.7612001156935624
22,0,0.0,0,42.0,0,11.0,59945.0,No,192207.0,Yes,M,Masters,Lawyer,42,Private,14190.0,6,Minivan,no,0.0,0,No,0,16.0,Highly Urban/ Urban,0,1,0,0,0,3,6.0,1,1,1,0,0,1,1,11.001199435961073,0.0,9.560292770154089,0.0,3.7376696182833684,3.7376696182833684
23,0,0.0,0,34.0,3,13.0,34019.0,No,91875.0,Yes,z_F,Masters,Lawyer,27,Private,8300.0,7,z_SUV,no,0.0,0,No,0,20.0,Highly Urban/ Urban,0,1,0,0,0,3,6.0,0,1,1,1,0,1,1,10.434703865949853,0.0,9.02401079378469,0.0,3.5263605246161616,3.295836866004329
24,0,0.0,0,31.0,2,12.0,18903.0,No,93797.0,Yes,z_F,<High School,Clerical,48,Private,17330.0,4,Minivan,no,0.0,0,No,0,7.0,Highly Urban/ Urban,0,1,0,0,0,0,3.0,1,1,1,1,0,0,0,9.847128818866743,0.0,9.760194382709651,0.0,3.4339872044851463,3.871201010907891
25,1,6857.0,0,28.0,1,13.0,44077.0,No,170598.0,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,8710.0,6,z_SUV,no,8935.0,2,No,0,1.0,Highly Urban/ Urban,0,1,1,0,0,1,2.0,0,1,0,1,0,0,0,10.693716070746637,0.0,9.072227069846548,1.0986122886681098,3.332204510175204,3.367295829986474
26,1,3627.0,0,43.0,0,13.0,37214.0,No,0.0,Yes,M,<High School,z_Blue Collar,52,Commercial,26560.0,1,Panel Truck,yes,0.0,0,No,3,1.0,Highly Urban/ Urban,0,1,1,0,0,0,2.0,5,0,0,0,0,0,0,10.52446718479401,1.3862943611198906,10.18716160359037,0.0,3.7612001156935624,3.9512437185814275
27,0,0.0,0,48.0,0,14.0,96274.0,No,282904.0,Yes,z_F,Masters,Lawyer,36,Private,11130.0,6,z_SUV,no,8250.0,1,No,5,14.0,Highly Urban/ Urban,0,1,0,0,0,3,6.0,0,1,1,0,0,1,1,11.47496395868311,1.791759469228055,9.31739944426959,0.6931471805599453,3.871201010907891,3.58351893845611
28,0,0.0,0,47.0,0,11.0,46281.0,No,0.0,z_No,z_F,<High School,z_Blue Collar,29,Private,19700.0,10,Minivan,no,0.0,0,No,1,5.0,Highly Urban/ Urban,0,0,0,0,0,0,2.0,1,0,1,0,0,0,0,10.742508395585617,0.6931471805599453,9.88837391472608,0.0,3.8501476017100584,3.367295829986474
29,0,0.0,2,44.0,2,0.0,0.0,No,82344.0,Yes,z_F,z_High School,Home Maker,8,Private,5900.0,6,z_SUV,no,3338.0,3,No,0,11.0,Highly Urban/ Urban,0,1,0,0,0,1,1.0,0,1,1,1,1,0,0,0.0,0.0,8.68270762989381,1.3862943611198906,3.784189633918261,2.0794415416798357
32,0,0.0,0,33.0,1,13.0,79606.0,No,225962.0,Yes,z_F,Bachelors,Professional,27,Private,16830.0,9,z_SUV,no,0.0,0,No,2,15.0,z_Highly Rural/ Rural,0,1,0,0,1,2,4.0,0,1,1,1,0,1,1,11.284857307664499,1.0986122886681098,9.730918287184851,0.0,3.4965075614664802,3.295836866004329
33,1,4486.0,0,32.0,1,9.0,31275.0,No,118160.0,Yes,z_F,z_High School,Clerical,26,Private,10030.0,1,z_SUV,no,0.0,0,No,0,1.0,Highly Urban/ Urban,0,1,0,0,0,1,3.0,0,1,0,1,0,0,0,10.350606309244405,0.0,9.21333588095598,0.0,3.4657359027997265,3.258096538021482
34,0,0.0,1,44.0,2,17.0,45488.0,No,219378.0,Yes,M,Bachelors,Manager,16,Private,22090.0,17,Minivan,no,0.0,0,No,0,12.0,Highly Urban/ Urban,0,1,0,0,0,2,7.0,1,1,1,1,1,1,1,10.725225817469049,0.0,10.002880296414164,0.0,3.784189633918261,2.772588722239781
35,0,0.0,0,35.0,0,8.0,72193.0,No,0.0,z_No,z_F,Bachelors,Clerical,26,Private,12220.0,6,z_SUV,no,0.0,0,No,3,12.0,Highly Urban/ Urban,0,0,0,0,0,2,3.0,0,0,1,0,0,0,1,11.18711221893464,1.3862943611198906,9.410829232725586,0.0,3.5553480614894135,3.258096538021482
36,0,0.0,0,40.0,2,0.0,43441.67980008991,No,98777.0,Yes,z_F,Masters,Home Maker,15,Private,14130.0,6,z_SUV,no,38127.0,2,Yes,4,12.0,z_Highly Rural/ Rural,0,1,0,1,1,3,1.0,0,1,1,1,0,0,1,10.679197642394081,1.6094379124341003,9.556055475678573,1.0986122886681098,3.6888794541139363,2.70805020110221
38,0,0.0,0,49.0,0,5.0,49244.0,No,163444.0,Yes,M,Bachelors,Clerical,30,Private,15880.0,1,Minivan,no,0.0,0,No,1,1.0,Highly Urban/ Urban,0,1,0,0,0,2,3.0,1,1,0,0,0,0,1,10.804563118603802,0.6931471805599453,9.672815734801127,0.0,3.8918202981106265,3.4011973816621555
40,0,0.0,0,52.0,0,8.0,51278.0,No,230340.0,Yes,z_F,Bachelors,Professional,37,Private,1500.0,4,z_SUV,no,0.0,0,No,1,10.0,Highly Urban/ Urban,0,1,0,0,0,2,4.0,0,1,1,0,0,1,1,10.845036590624378,0.6931471805599453,7.313220387090301,0.0,3.9512437185814275,3.6109179126442243
41,0,0.0,0,41.0,0,7.0,92842.0,No,286113.0,z_No,M,Masters,Not Specified,12,Commercial,25810.0,6,Panel Truck,no,1431.0,2,No,5,15.0,Highly Urban/ Urban,0,0,1,0,0,3,8.0,5,1,1,0,0,1,1,11.438665173524205,1.791759469228055,10.15851729271266,1.0986122886681098,3.713572066704308,2.4849066497880004
42,0,0.0,0,39.0,0,10.0,35081.0,No,202839.0,Yes,M,Bachelors,z_Blue Collar,38,Commercial,16640.0,4,Van,yes,0.0,0,No,0,13.0,Highly Urban/ Urban,0,1,1,0,0,2,2.0,4,1,1,0,0,0,1,10.465443457403726,0.0,9.719564714375199,0.0,3.6635616461296463,3.6375861597263857
43,0,0.0,0,56.0,0,0.0,0.0,No,63827.0,Yes,z_F,PhD,Home Maker,65,Private,13220.0,1,Minivan,no,0.0,0,No,0,12.0,z_Highly Rural/ Rural,0,1,0,0,1,4,1.0,1,1,1,0,0,0,1,0.0,0.0,9.489486113405677,0.0,4.02535169073515,4.174387269895637
44,0,0.0,0,49.0,0,12.0,115044.0,No,311980.0,z_No,z_F,PhD,Doctor,18,Private,17900.0,1,Minivan,no,0.0,0,No,0,14.0,Highly Urban/ Urban,0,0,0,0,0,4,5.0,1,1,1,0,0,1,1,11.653078635153634,0.0,9.792555991828847,0.0,3.8918202981106265,2.8903717578961645
45,0,0.0,0,38.0,0,11.0,37754.0,No,138823.0,Yes,z_F,z_High School,Clerical,47,Private,12080.0,1,z_SUV,no,0.0,0,No,2,9.0,z_Highly Rural/ Rural,0,1,0,0,1,1,3.0,0,1,1,0,0,0,0,10.538873196237526,1.0986122886681098,9.399306471488806,0.0,3.6375861597263857,3.8501476017100584
46,0,0.0,0,43.0,2,17.0,145353.0,No,418785.0,Yes,z_F,Masters,Not Specified,38,Commercial,29450.0,6,Van,no,0.0,0,No,0,15.0,Highly Urban/ Urban,0,1,1,0,0,3,8.0,4,1,1,1,0,1,1,11.886927425388201,0.0,10.290449189079732,0.0,3.7612001156935624,3.6375861597263857
48,0,0.0,0,63.0,0,15.0,121398.0,No,343410.0,Yes,z_F,PhD,Doctor,10,Private,16270.0,1,z_SUV,no,0.0,0,No,0,11.0,Highly Urban/ Urban,0,1,0,0,0,4,5.0,0,1,1,0,0,1,1,11.706837920341318,0.0,9.697078200213083,0.0,4.143134726391533,2.302585092994046
49,0,0.0,0,52.0,0,0.0,0.0,No,87925.0,z_No,z_F,z_High School,Student,48,Commercial,9280.0,1,z_SUV,no,0.0,0,No,1,6.0,z_Highly Rural/ Rural,0,0,1,0,1,1,0.0,0,1,1,0,0,0,0,0.0,0.6931471805599453,9.135616825780247,0.0,3.9512437185814275,3.871201010907891
50,0,0.0,0,35.0,0,7.0,14508.0,No,0.0,Yes,M,Bachelors,Student,22,Commercial,6450.0,1,Pickup,no,0.0,0,No,0,7.0,Highly Urban/ Urban,0,1,1,0,0,2,0.0,2,0,1,0,0,0,1,9.582524425515684,0.0,8.771835409789817,0.0,3.5553480614894135,3.091042453358316
51,0,0.0,0,43.0,0,13.0,75338.0,No,270555.0,Yes,z_F,Bachelors,Manager,40,Private,23080.0,1,Sports Car,no,0.0,0,No,0,8.0,Highly Urban/ Urban,0,1,0,0,0,2,7.0,3,1,1,0,0,1,1,11.229753207996275,0.0,10.046721720622037,0.0,3.7612001156935624,3.6888794541139363
52,0,0.0,0,41.0,0,10.0,32774.0,No,0.0,z_No,z_F,z_High School,Clerical,44,Private,20120.0,4,Minivan,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural,0,0,0,0,1,1,3.0,1,0,0,0,0,0,0,10.3974213086319,0.0,9.909469624213676,0.0,3.713572066704308,3.784189633918261
53,0,0.0,0,40.0,0,11.0,57474.0,No,186418.0,Yes,M,Bachelors,Clerical,5,Commercial,29270.0,4,Panel Truck,yes,0.0,0,No,1,5.0,Highly Urban/ Urban,0,1,1,0,0,2,3.0,5,1,1,0,0,0,1,10.959105349631383,0.6931471805599453,10.284318379685931,0.0,3.6888794541139363,1.6094379124341003
54,0,0.0,0,31.0,1,12.0,26520.0,No,154493.0,Yes,M,Bachelors,Student,62,Commercial,4600.0,6,Minivan,yes,0.0,0,No,2,5.0,Highly Urban/ Urban,0,1,1,0,0,2,0.0,1,1,1,1,0,0,1,10.185692150979541,1.0986122886681098,8.433811582477187,0.0,3.4339872044851463,4.127134385045092
55,0,0.0,0,47.0,0,8.0,18444.0,No,0.0,Yes,z_F,z_High School,Student,35,Commercial,19450.0,6,z_SUV,no,2981.0,2,No,5,5.355830062946227,Highly Urban/ Urban,0,1,1,0,0,1,0.0,0,0,1,0,0,0,0,9.822548610030776,1.791759469228055,9.875602349046593,1.0986122886681098,3.8501476017100584,3.5553480614894135
56,0,0.0,0,53.0,0,11.606530098899727,107259.0,No,343700.0,Yes,M,Masters,Professional,36,Private,29230.0,10,Minivan,yes,0.0,0,No,0,15.0,Highly Urban/ Urban,0,1,0,0,0,3,4.0,1,1,1,0,0,1,1,11.583011072536916,0.0,10.282950858105291,0.0,3.970291913552122,3.58351893845611
57,0,0.0,0,39.0,3,7.0,34046.0,No,183383.0,Yes,z_F,z_High School,Clerical,33,Private,4040.0,6,z_SUV,no,0.0,0,No,0,5.0,z_Highly Rural/ Rural,0,1,0,0,1,1,3.0,0,1,1,1,0,0,0,10.435497201969248,0.0,8.303999970955196,0.0,3.6635616461296463,3.4965075614664802
58,0,0.0,0,33.0,3,14.0,32364.0,No,152894.0,Yes,M,<High School,Clerical,40,Private,12270.0,18,Minivan,yes,0.0,0,No,3,1.0,Highly Urban/ Urban,0,1,0,0,0,0,3.0,1,1,0,1,0,0,0,10.384832870979611,1.3862943611198906,9.414912537704957,0.0,3.4965075614664802,3.6888794541139363
59,0,0.0,0,59.0,0,5.0,106775.0,No,0.0,z_No,M,Masters,Lawyer,10,Private,31930.0,1,Minivan,yes,0.0,0,No,0,12.799369938540842,Highly Urban/ Urban,0,0,0,0,0,3,6.0,1,0,1,0,0,1,1,11.578488461153988,0.0,10.371301285708828,0.0,4.07753744390572,2.302585092994046
61,1,6100.0,0,40.0,0,11.0,16989.0,No,0.0,z_No,M,<High School,z_Blue Collar,20,Commercial,12230.0,4,Pickup,yes,26104.0,1,Yes,13,6.0,Highly Urban/ Urban,0,0,1,1,0,0,2.0,2,0,1,0,0,0,0,9.740380214665977,2.6390573296152584,9.411647228681218,0.6931471805599453,3.6888794541139363,2.995732273553991
65,1,8840.6835683,0,44.0,2,15.0,16352.0,No,134164.0,Yes,z_F,z_High School,Home Maker,37,Private,10520.0,1,z_SUV,no,7838.0,1,No,1,1.0,Highly Urban/ Urban,0,1,0,0,0,1,1.0,0,1,0,1,0,0,0,9.70216664573239,0.6931471805599453,9.261033486291701,0.6931471805599453,3.784189633918261,3.6109179126442243
66,0,0.0,0,56.0,0,16.0,44760.0,No,164852.0,Yes,M,Bachelors,Manager,30,Private,21770.0,13,Minivan,yes,0.0,0,No,0,6.0,Highly Urban/ Urban,0,1,0,0,0,2,7.0,1,1,1,0,0,1,1,10.709092503552526,0.0,9.988288154228593,0.0,4.02535169073515,3.4011973816621555
67,1,2117.0,1,45.0,1,14.0,63952.0,No,196368.0,Yes,z_F,Masters,Lawyer,50,Private,32340.0,6,Van,no,27877.0,2,Yes,0,13.0,Highly Urban/ Urban,0,1,0,1,0,3,6.0,4,1,1,1,1,1,1,11.065903717556399,0.0,10.384060133131097,1.0986122886681098,3.8066624897703196,3.912023005428146
69,0,0.0,0,48.0,0,0.0,0.0,No,252896.0,Yes,M,Bachelors,Professional,14,Commercial,28560.0,13,Panel Truck,yes,1554.0,5,No,1,10.0,Highly Urban/ Urban,0,1,1,0,0,2,4.0,5,1,1,0,0,1,1,0.0,0.6931471805599453,10.25976241645352,1.791759469228055,3.871201010907891,2.6390573296152584
70,1,3532.0,1,44.0,2,9.031038595489187,24060.0,Yes,0.0,z_No,M,Bachelors,Clerical,24,Private,14220.0,4,Minivan,no,0.0,0,No,0,10.0,Highly Urban/ Urban,1,0,0,0,0,2,3.0,1,0,1,1,1,0,1,10.088347551424729,0.0,9.562404703357231,0.0,3.784189633918261,3.1780538303479458
71,1,866.0,0,33.0,4,12.0,20822.0,No,76022.0,Yes,z_F,z_High School,Home Maker,46,Private,6880.0,13,z_SUV,no,7896.0,3,No,0,1.0,Highly Urban/ Urban,0,1,0,0,0,1,1.0,0,1,0,1,0,0,0,9.943813424007693,0.0,8.836373930927389,1.3862943611198906,3.4965075614664802,3.828641396489095
72,0,0.0,0,32.0,3,14.0,54968.0,No,146784.0,Yes,z_F,z_High School,Professional,20,Private,10040.0,4,z_SUV,no,0.0,0,Yes,0,8.0,Highly Urban/ Urban,0,1,0,1,0,1,4.0,0,1,1,1,0,1,0,10.914524668948285,0.0,9.214332393245721,0.0,3.4657359027997265,2.995732273553991
73,1,7786.0,0,34.0,0,8.0,14194.0,No,87034.0,z_No,z_F,<High School,Clerical,13,Private,2920.0,4,Sports Car,no,24767.0,3,Yes,2,10.0,Highly Urban/ Urban,0,0,0,1,0,0,3.0,3,1,1,0,0,0,0,9.560645068907071,1.0986122886681098,7.979338895262328,1.3862943611198906,3.5263605246161616,2.5649493574615367
74,0,0.0,1,38.0,4,12.0,2149.0,No,72889.0,Yes,z_F,<High School,Home Maker,35,Private,22690.0,10,Pickup,no,0.0,0,No,2,1.0,Highly Urban/ Urban,0,1,0,0,0,0,1.0,2,1,0,1,1,0,0,7.673223121121708,1.0986122886681098,10.029679577773887,0.0,3.6375861597263857,3.5553480614894135
77,1,4148.0,2,43.0,3,11.0,137103.0,Yes,0.0,z_No,z_F,Masters,Manager,29,Private,19510.0,1,Sports Car,no,8890.0,3,No,0,15.0,Highly Urban/ Urban,1,0,0,0,0,3,7.0,3,0,1,1,1,1,1,11.8284950409089,0.0,9.878682433617158,1.3862943611198906,3.7612001156935624,3.367295829986474
78,0,0.0,0,49.0,0,9.0,111541.68631658936,No,0.0,z_No,M,PhD,Not Specified,31,Commercial,33710.0,3,Panel Truck,no,34351.0,2,Yes,2,18.0,Highly Urban/ Urban,0,0,1,1,0,4,8.0,5,0,1,0,0,1,1,11.62216263353904,1.0986122886681098,10.425549808228107,1.0986122886681098,3.8918202981106265,3.4339872044851463
79,0,0.0,0,46.0,0,10.0,79538.0,No,0.0,z_No,z_F,Bachelors,Manager,13,Private,14050.0,3,Minivan,no,0.0,0,Yes,2,11.0,Highly Urban/ Urban,0,0,0,1,0,2,7.0,1,0,1,0,0,1,1,11.284002746391979,1.0986122886681098,9.550377674761892,0.0,3.828641396489095,2.5649493574615367
80,0,0.0,0,45.0,1,11.0,185836.0,No,509115.0,Yes,z_F,PhD,Lawyer,28,Private,10250.0,1,z_SUV,no,4307.0,3,No,6,20.0,Highly Urban/ Urban,0,1,0,0,0,4,6.0,0,1,1,1,0,1,1,12.132625224395353,1.9459101490553132,9.235032984566555,1.3862943611198906,3.8066624897703196,3.332204510175204
81,0,0.0,0,46.0,0,14.0,146512.12748987423,No,397661.0,z_No,M,Masters,Not Specified,22,Commercial,33320.0,4,Panel Truck,yes,0.0,0,Yes,1,12.0,Highly Urban/ Urban,0,0,1,1,0,3,8.0,5,1,1,0,0,1,1,11.894870310864167,0.6931471805599453,10.41391309628078,0.0,3.828641396489095,3.091042453358316
82,0,0.0,0,45.0,0,11.0,61931.0,No,213530.0,Yes,M,Masters,Not Specified,30,Commercial,10910.0,13,Pickup,yes,25106.0,2,No,0,12.846425489766165,Highly Urban/ Urban,0,1,1,0,0,3,8.0,2,1,1,0,0,1,1,11.033792287936727,0.0,9.297435078827116,1.0986122886681098,3.8066624897703196,3.4011973816621555
84,0,0.0,0,63.0,0,9.0,74426.0,No,0.0,z_No,z_F,PhD,Doctor,11,Private,27600.0,1,z_SUV,no,0.0,0,No,0,18.0,Highly Urban/ Urban,0,0,0,0,0,4,5.0,0,0,1,0,0,1,1,11.217574058213541,0.0,10.225571051705241,0.0,4.143134726391533,2.3978952727983707
85,0,0.0,0,44.0,0,9.0,74722.0,No,231034.0,Yes,z_F,Bachelors,Professional,9,Private,23640.0,6,Minivan,no,0.0,0,No,0,1.0,Highly Urban/ Urban,0,1,0,0,0,2,4.0,1,1,0,0,0,1,1,11.221543221989673,0.0,10.070695471520034,0.0,3.784189633918261,2.1972245773362196
86,1,2371.0,1,45.0,2,11.0,102393.0,Yes,0.0,z_No,M,Bachelors,Professional,25,Private,1500.0,1,Minivan,yes,0.0,0,No,2,11.0,Highly Urban/ Urban,1,0,0,0,0,2,4.0,1,0,1,1,1,1,1,11.536583396120864,1.0986122886681098,7.313220387090301,0.0,3.8066624897703196,3.2188758248682006
88,0,0.0,0,48.0,0,0.0,0.0,No,98920.0,Yes,z_F,z_High School,Home Maker,50,Private,8660.0,3,Sports Car,no,8363.0,2,No,3,5.3916670863925145,Highly Urban/ Urban,0,1,0,0,0,1,1.0,3,1,1,0,0,0,0,0.0,1.3862943611198906,9.06647000155648,1.0986122886681098,3.871201010907891,3.912023005428146
89,1,4804.0,1,37.0,2,12.0,53259.00501859899,No,205211.0,Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,5200.0,1,z_SUV,no,2718.0,1,No,1,3.0,Highly Urban/ Urban,0,1,1,0,0,2,2.0,0,1,1,1,1,0,1,10.882940953596213,0.6931471805599453,8.556413904569519,0.6931471805599453,3.6109179126442243,3.7612001156935624
90,0,0.0,0,35.0,0,9.084897370228074,29371.0,No,0.0,z_No,z_F,<High School,Clerical,49,Private,4860.0,10,Sports Car,no,0.0,0,No,0,1.0,Highly Urban/ Urban,0,0,0,0,0,0,3.0,3,0,0,0,0,0,0,10.2877971185715,0.0,8.48879371689454,0.0,3.5553480614894135,3.8918202981106265
91,1,1354.0,0,48.0,0,12.0,31773.0,No,165090.0,Yes,M,z_High School,Clerical,14,Commercial,9640.0,13,Pickup,no,1212.0,1,No,4,1.0,Highly Urban/ Urban,0,1,1,0,0,1,3.0,2,1,0,0,0,0,0,10.366403624279968,1.6094379124341003,9.17367638760459,0.6931471805599453,3.871201010907891,2.6390573296152584
93,0,0.0,0,49.0,0,0.0,0.0,No,159389.0,Yes,z_F,Masters,Professional,42,Private,6400.0,10,z_SUV,no,9115.0,1,No,6,14.0,Highly Urban/ Urban,0,1,0,0,0,3,4.0,0,1,1,0,0,1,1,0.0,1.9459101490553132,8.764053269347762,0.6931471805599453,3.8918202981106265,3.7376696182833684
94,0,0.0,0,44.0,2,15.0,139330.0,Yes,316900.0,z_No,z_F,z_High School,z_Blue Collar,35,Commercial,22050.0,10,Sports Car,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural,1,0,1,0,1,1,2.0,3,1,0,1,0,0,0,11.844607676287078,0.0,10.001067880874992,0.0,3.784189633918261,3.5553480614894135
95,0,0.0,0,50.0,0,13.0,163296.0,No,447616.0,z_No,z_F,PhD,Lawyer,42,Private,22830.0,1,Minivan,no,0.0,0,No,0,14.0,z_Highly Rural/ Rural,0,0,0,0,1,4,6.0,1,1,1,0,0,1,1,12.003325907693664,0.0,10.035830739523842,0.0,3.912023005428146,3.7376696182833684
96,0,0.0,0,30.0,1,10.0,17455.0,Yes,140978.0,z_No,z_F,<High School,z_Blue Collar,50,Private,12380.0,13,Minivan,no,0.0,0,No,0,6.0,z_Highly Rural/ Rural,1,0,0,0,1,0,2.0,1,1,1,1,0,0,0,9.767438708072852,0.0,9.423837546238587,0.0,3.4011973816621555,3.912023005428146
